Age,Gender,Platform,Daily_Usage_Hours,Study_Hours,Sleep_Hours,Academic_Performance
24,Female,YouTube,3.4,4.3,8.0,75.0
22,Female,Instagram,8.0,1.2,4.9,40.0
18,Male,LinkedIn,3.7,3.4,6.9,69.0
18,Female,Instagram,3.3,4.0,8.3,85.0
21,Male,Twitter,5.3,3.2,7.3,67.0
23,Female,Instagram,3.8,3.9,7.4,71.0
24,Male,Instagram,3.7,4.3,7.4,87.0
22,Female,Twitter,1.9,6.0,9.0,86.0
21,Female,Facebook,4.4,3.9,6.5,65.0
18,Female,LinkedIn,4.0,5.1,6.9,61.0
20,Male,YouTube,5.6,2.5,5.3,54.0
22,Female,YouTube,3.2,5.3,8.3,75.0
21,Female,Snapchat,6.1,1.0,4.5,41.0
18,Female,TikTok,5.3,2.7,7.1,64.0
18,Female,LinkedIn,5.6,1.7,5.9,52.0
24,Male,TikTok,6.3,1.0,5.5,56.0
23,Female,Snapchat,5.8,1.5,6.9,61.0
23,Male,Twitter,2.8,4.9,7.7,81.0
18,Female,YouTube,6.5,2.2,5.6,43.0
23,Female,Snapchat,4.6,2.3,6.9,66.0
18,Female,TikTok,7.0,1.0,4.9,54.0
18,Male,Twitter,1.8,5.8,8.0,80.0
18,Male,Instagram,3.7,4.0,6.3,65.0
18,Male,TikTok,7.9,1.0,5.9,47.0
22,Male,Snapchat,4.6,3.8,6.6,69.0
20,Female,Twitter,8.2,1.0,5.8,46.0
21,Female,TikTok,8.4,1.0,5.9,50.0
22,Female,TikTok,3.7,3.7,7.1,67.0
23,Female,TikTok,7.3,1.0,5.5,57.0
24,Female,Twitter,2.9,5.3,7.7,81.0
18,Male,Twitter,1.8,6.3,8.9,86.0
23,Female,Snapchat,6.3,1.0,5.7,59.0
19,Male,YouTube,3.4,4.7,8.6,76.0
24,Male,Facebook,5.7,2.5,6.8,66.0
24,Female,Facebook,3.8,6.2,7.4,63.0
21,Male,TikTok,3.6,5.9,7.4,78.0
18,Female,Facebook,6.5,1.0,4.7,48.0
24,Female,YouTube,7.8,1.0,5.4,56.0
22,Male,TikTok,3.7,3.1,7.1,75.0
18,Male,LinkedIn,3.7,3.8,6.7,62.0
19,Male,Facebook,5.7,2.6,7.2,62.0
18,Female,Facebook,3.3,5.7,8.0,88.0
21,Female,Facebook,3.3,4.1,8.2,86.0
20,Male,Snapchat,1.8,5.7,8.5,75.0
23,Female,Snapchat,5.4,1.0,7.1,65.0
20,Female,YouTube,5.9,2.0,4.9,51.0
20,Male,LinkedIn,3.3,3.9,8.8,79.0
24,Male,Snapchat,7.2,1.0,4.7,54.0
18,Male,Snapchat,1.6,5.7,8.1,86.0
24,Female,YouTube,3.4,4.5,8.2,82.0
22,Female,Twitter,2.6,4.0,7.5,85.0
20,Female,Twitter,5.1,1.7,6.5,69.0
23,Female,Instagram,5.8,3.9,6.2,62.0
19,Male,Instagram,4.3,2.7,6.7,63.0
20,Female,TikTok,2.5,4.6,7.7,85.0
22,Female,YouTube,5.8,3.7,6.0,47.0
20,Male,LinkedIn,2.5,7.8,7.4,82.0
19,Female,TikTok,6.4,1.0,5.5,44.0
20,Male,Twitter,7.8,1.0,5.2,52.0
20,Male,Twitter,6.5,1.8,4.5,42.0
22,Female,YouTube,3.0,6.4,8.9,71.0
24,Female,Facebook,1.5,5.7,7.2,76.0
19,Female,TikTok,8.1,1.0,5.6,55.0
21,Female,Snapchat,2.6,6.0,7.4,74.0
18,Male,Snapchat,2.7,5.6,8.5,76.0
23,Female,Snapchat,2.4,5.3,7.6,76.0
23,Female,TikTok,6.6,1.3,6.0,50.0
22,Male,YouTube,3.8,3.1,7.9,73.0
21,Female,LinkedIn,5.8,2.0,7.0,64.0
20,Male,LinkedIn,8.2,1.0,6.0,57.0
22,Male,Facebook,4.5,3.7,6.0,63.0
18,Female,Twitter,5.6,2.0,4.8,59.0
20,Male,TikTok,3.5,4.9,7.9,78.0
23,Female,YouTube,2.9,5.9,7.3,85.0
19,Male,TikTok,6.6,1.5,5.9,50.0
24,Male,Twitter,8.0,1.0,5.1,53.0
18,Male,LinkedIn,7.3,1.0,5.1,41.0
19,Female,Twitter,2.5,5.5,7.3,83.0
19,Male,TikTok,2.6,4.8,8.4,82.0
24,Male,Twitter,2.3,6.0,8.3,89.0
21,Male,Twitter,5.3,2.6,7.3,61.0
19,Female,Snapchat,7.7,2.0,5.7,53.0
19,Female,Snapchat,4.6,4.7,6.2,62.0
21,Male,YouTube,5.9,2.4,7.1,64.0
18,Male,LinkedIn,7.5,1.0,5.0,54.0
18,Male,LinkedIn,6.3,1.0,6.0,60.0
19,Male,YouTube,5.3,3.7,7.0,67.0
23,Female,TikTok,1.6,6.6,8.7,89.0
20,Male,LinkedIn,6.5,1.9,4.5,47.0
20,Female,Twitter,8.2,1.0,5.0,59.0
23,Male,LinkedIn,6.1,2.6,5.9,48.0
22,Male,LinkedIn,5.7,2.7,7.3,69.0
19,Female,Twitter,5.1,2.0,7.1,66.0
24,Male,Twitter,3.8,3.8,6.3,62.0
20,Male,YouTube,5.7,2.5,5.1,42.0
20,Female,Facebook,6.6,1.4,5.3,46.0
20,Male,Instagram,8.3,1.0,5.1,58.0
20,Male,Instagram,7.1,1.0,6.0,45.0
18,Male,Facebook,3.0,4.8,8.4,79.0
22,Male,Instagram,8.5,1.0,6.0,53.0
24,Female,Twitter,3.5,5.7,7.2,73.0
18,Female,Twitter,3.8,2.1,8.4,72.0
19,Male,Instagram,2.0,5.8,7.1,82.0
18,Female,Twitter,4.2,3.9,6.9,68.0
21,Female,YouTube,4.5,3.7,6.1,63.0
24,Female,YouTube,4.2,3.5,7.3,61.0
24,Female,Facebook,5.6,1.0,5.5,41.0
21,Female,Facebook,3.1,5.2,7.2,85.0
19,Female,Instagram,5.9,3.5,5.5,40.0
22,Female,YouTube,7.5,1.0,5.5,47.0
20,Male,Snapchat,3.8,4.9,6.7,62.0
21,Female,LinkedIn,3.3,4.4,8.9,79.0
24,Male,Facebook,4.1,3.9,6.1,60.0
19,Female,YouTube,6.8,1.0,5.6,50.0
23,Male,Snapchat,3.5,4.2,7.0,60.0
19,Male,YouTube,3.4,5.6,8.5,80.0
19,Male,LinkedIn,5.8,2.7,6.3,64.0
19,Female,TikTok,6.0,3.4,6.8,65.0
23,Female,TikTok,3.0,5.9,8.6,77.0
19,Male,Twitter,5.0,3.4,7.5,66.0
24,Female,Twitter,5.5,3.9,4.6,51.0
20,Female,TikTok,5.3,3.1,6.0,65.0
21,Male,Facebook,5.6,3.1,6.0,63.0
19,Female,Facebook,5.8,2.0,7.4,65.0
18,Male,Twitter,2.2,5.9,8.3,74.0
24,Male,LinkedIn,1.7,5.7,8.4,76.0
21,Male,Instagram,3.0,5.8,7.2,72.0
18,Female,TikTok,4.7,2.4,6.6,70.0
23,Male,YouTube,6.2,2.4,5.9,56.0
18,Male,TikTok,6.2,1.6,5.9,49.0
20,Female,Instagram,1.9,7.0,7.8,78.0
23,Male,LinkedIn,2.6,6.0,8.8,81.0
18,Male,Facebook,5.9,3.6,6.1,62.0
20,Male,LinkedIn,3.9,4.7,6.9,66.0
22,Female,Instagram,7.1,1.0,5.1,41.0
19,Male,Twitter,3.9,4.0,6.1,60.0
20,Male,TikTok,8.0,1.0,4.9,48.0
24,Male,Snapchat,5.9,1.7,6.1,61.0
24,Female,Facebook,8.4,1.0,5.9,55.0
21,Female,YouTube,7.5,1.0,4.7,60.0
20,Female,Snapchat,7.5,1.0,5.2,48.0
19,Male,Snapchat,5.3,1.9,7.0,68.0
18,Male,Twitter,6.2,1.8,4.7,42.0
19,Male,Facebook,5.2,1.8,6.5,61.0
21,Male,Facebook,5.5,2.0,5.7,60.0
20,Male,Instagram,7.9,1.0,4.7,52.0
23,Male,Snapchat,7.7,1.2,5.3,45.0
20,Male,YouTube,3.9,4.6,6.7,60.0
21,Female,LinkedIn,3.9,2.3,6.9,61.0
21,Female,YouTube,5.9,2.3,6.0,51.0
18,Male,Facebook,3.8,4.3,8.4,83.0
19,Male,TikTok,7.4,1.0,5.5,41.0
20,Female,LinkedIn,7.2,2.1,5.9,42.0
19,Male,TikTok,6.1,1.0,4.6,49.0
22,Male,Facebook,3.9,3.6,8.6,83.0
20,Female,LinkedIn,5.6,2.9,4.9,59.0
22,Female,Snapchat,6.3,1.0,5.1,57.0
22,Female,Facebook,2.3,6.9,9.0,71.0
19,Male,YouTube,6.4,1.9,5.9,59.0
19,Female,YouTube,5.2,3.5,7.0,67.0
21,Female,LinkedIn,7.1,1.0,5.5,44.0
23,Female,Instagram,6.1,2.6,4.6,52.0
20,Male,Twitter,7.9,1.0,5.4,53.0
19,Female,Twitter,7.4,1.0,4.6,58.0
20,Female,TikTok,7.1,1.1,5.9,42.0
24,Male,YouTube,5.2,3.0,6.5,60.0
21,Male,Twitter,5.8,1.5,5.4,49.0
21,Female,YouTube,5.8,2.1,4.9,41.0
19,Female,Twitter,2.2,5.7,7.6,89.0
24,Male,Snapchat,6.9,1.4,5.3,43.0
22,Female,Snapchat,6.9,1.9,4.6,43.0
20,Female,Facebook,6.3,1.0,5.9,53.0
24,Female,Twitter,4.4,3.5,6.2,62.0
23,Male,TikTok,3.2,6.0,8.9,80.0
21,Female,Facebook,7.6,1.0,5.9,47.0
22,Female,Instagram,3.5,3.8,8.7,80.0
24,Male,Snapchat,4.6,3.6,6.4,68.0
21,Female,Twitter,6.1,2.6,4.5,53.0
22,Male,TikTok,3.3,4.7,8.2,74.0
24,Male,LinkedIn,5.2,3.9,6.9,69.0
20,Female,LinkedIn,5.9,2.8,5.5,43.0
23,Female,Twitter,6.1,2.6,5.1,49.0
21,Male,TikTok,3.9,4.5,7.7,75.0
20,Male,Facebook,7.2,2.7,4.6,44.0
22,Female,LinkedIn,7.9,1.0,5.6,53.0
18,Female,TikTok,7.5,1.0,5.8,46.0
24,Female,Twitter,6.4,2.9,6.0,52.0
21,Male,Facebook,7.6,1.0,5.8,48.0
18,Female,Twitter,5.8,2.3,5.0,56.0
23,Female,Twitter,2.8,6.2,7.4,84.0
20,Male,Facebook,6.3,1.0,4.7,43.0
23,Female,Snapchat,4.3,2.7,7.4,61.0
20,Female,Snapchat,8.2,1.0,4.8,40.0
18,Male,Twitter,6.9,1.0,5.9,41.0
22,Male,Facebook,5.7,2.7,4.6,48.0
24,Female,TikTok,5.9,2.5,5.8,56.0
22,Female,Snapchat,1.9,6.3,8.4,81.0
23,Male,Snapchat,7.7,1.0,5.1,57.0
24,Male,Twitter,3.2,3.0,7.8,84.0
24,Female,TikTok,1.7,6.3,8.7,80.0
21,Male,TikTok,7.8,1.0,5.0,45.0
21,Male,Instagram,1.9,6.5,8.7,81.0
19,Male,TikTok,7.5,1.1,4.9,42.0
21,Male,YouTube,7.1,1.0,5.9,47.0
20,Female,Facebook,4.3,4.3,6.4,62.0
23,Male,Twitter,8.2,1.0,5.7,49.0
21,Female,TikTok,8.3,1.0,4.6,48.0
18,Female,Facebook,8.1,1.0,4.7,56.0
19,Male,TikTok,4.8,3.1,7.0,61.0
20,Female,YouTube,2.7,5.5,7.8,75.0
18,Male,LinkedIn,7.5,1.2,5.4,42.0
24,Male,LinkedIn,3.8,3.9,7.9,88.0
21,Female,Instagram,5.9,2.5,4.9,56.0
23,Male,Instagram,3.4,4.4,8.4,73.0
19,Male,Twitter,3.9,4.0,6.6,69.0
19,Male,TikTok,7.9,1.0,5.4,42.0
24,Male,Instagram,2.1,4.3,7.2,72.0
18,Male,Snapchat,6.3,1.0,4.5,52.0
24,Male,LinkedIn,4.4,2.4,7.5,68.0
21,Female,Twitter,3.7,2.4,6.7,66.0
24,Female,YouTube,7.4,1.0,5.9,43.0
21,Female,LinkedIn,4.4,4.2,6.4,64.0
23,Male,LinkedIn,2.5,5.3,7.1,88.0
19,Female,Facebook,6.5,1.7,5.9,53.0
21,Female,Twitter,3.7,5.2,8.2,73.0
22,Female,TikTok,7.6,1.5,5.2,45.0
18,Male,Instagram,6.8,1.1,4.6,41.0
23,Male,Instagram,7.5,1.6,5.7,45.0
24,Female,YouTube,7.1,1.0,4.7,40.0
24,Male,Twitter,6.7,1.0,6.0,45.0
19,Male,Twitter,3.6,3.9,6.9,68.0
21,Male,Snapchat,3.1,3.7,7.5,89.0
21,Male,TikTok,5.2,2.1,6.4,70.0
18,Female,LinkedIn,4.7,3.0,6.2,64.0
19,Male,YouTube,2.9,5.7,8.0,74.0
23,Female,Snapchat,3.6,5.8,8.4,84.0
20,Female,TikTok,5.6,1.3,6.8,65.0
22,Male,Facebook,5.2,3.1,7.2,60.0
24,Female,YouTube,1.7,5.5,7.1,75.0
19,Male,YouTube,3.7,4.7,7.0,67.0
22,Male,Instagram,1.5,6.4,8.7,86.0
21,Male,Instagram,4.4,2.1,7.3,61.0
21,Male,Instagram,7.4,1.3,4.8,48.0
22,Female,Facebook,4.0,3.5,6.0,62.0
20,Male,Twitter,2.0,5.6,7.7,77.0
20,Male,LinkedIn,5.7,1.4,5.5,60.0
18,Male,LinkedIn,4.5,3.0,6.1,64.0
24,Male,TikTok,3.2,5.1,7.5,80.0
20,Female,Twitter,6.7,1.1,5.1,57.0
21,Male,Snapchat,8.3,1.0,4.7,50.0
18,Female,Snapchat,3.2,5.1,7.8,85.0
19,Female,TikTok,5.9,3.2,6.3,68.0
21,Male,YouTube,5.2,2.5,6.6,63.0
22,Male,LinkedIn,3.5,3.3,8.1,72.0
22,Male,YouTube,8.0,1.0,5.2,47.0
21,Female,TikTok,7.3,1.0,5.8,56.0
21,Male,YouTube,6.3,2.6,5.9,45.0
21,Male,Snapchat,8.4,1.0,4.7,54.0
19,Male,LinkedIn,2.4,5.5,7.2,86.0
23,Female,Instagram,6.4,1.9,5.4,54.0
24,Female,LinkedIn,4.8,4.8,6.7,64.0
23,Female,Snapchat,7.7,2.0,5.3,53.0
21,Male,Facebook,6.7,1.4,4.6,45.0
20,Female,Facebook,2.9,5.2,8.4,84.0
19,Female,LinkedIn,8.3,1.0,5.0,45.0
18,Male,LinkedIn,2.5,4.8,8.7,86.0
18,Female,Facebook,6.2,2.1,5.1,52.0
24,Male,Snapchat,2.8,5.2,8.5,76.0
18,Female,LinkedIn,4.8,3.5,6.8,63.0
20,Male,Instagram,7.6,1.0,5.4,41.0
19,Female,Facebook,4.5,2.2,6.2,66.0
21,Male,TikTok,2.6,3.7,7.4,89.0
22,Female,YouTube,2.3,4.8,8.8,90.0
20,Male,Twitter,2.8,4.8,8.2,73.0
19,Male,Instagram,7.0,1.0,4.7,55.0
23,Female,YouTube,5.6,3.9,6.6,65.0
21,Male,Instagram,3.5,5.4,8.5,84.0
18,Female,Twitter,5.9,1.3,4.5,58.0
19,Male,LinkedIn,2.4,5.9,8.4,76.0
20,Female,Facebook,6.4,1.3,5.5,43.0
21,Female,Twitter,2.7,5.1,7.5,79.0
24,Male,Instagram,8.2,1.0,4.8,45.0
22,Male,Instagram,1.9,6.6,7.2,82.0
21,Male,Instagram,5.4,2.3,6.6,65.0
21,Female,Snapchat,6.1,2.8,5.3,60.0
23,Female,Instagram,7.4,1.0,5.3,55.0
24,Male,LinkedIn,7.1,1.0,5.8,42.0
21,Male,Instagram,5.7,4.4,7.5,66.0
20,Female,Twitter,1.8,6.4,7.2,75.0
22,Female,YouTube,7.9,1.2,5.1,49.0
24,Male,Twitter,8.1,1.0,6.0,48.0
24,Female,Instagram,3.6,4.9,6.9,65.0
21,Male,Facebook,7.8,1.0,5.5,57.0
22,Female,Instagram,7.0,1.0,5.9,40.0
22,Female,TikTok,7.7,1.0,5.8,42.0
24,Female,Snapchat,5.7,2.6,6.9,64.0
19,Female,LinkedIn,4.9,2.4,6.6,65.0
24,Female,Instagram,7.6,1.0,5.3,49.0
19,Female,Snapchat,8.5,1.0,5.8,48.0
22,Female,TikTok,6.6,1.7,5.3,50.0
20,Female,Snapchat,7.5,1.0,5.9,46.0
24,Female,YouTube,7.5,1.0,4.8,54.0
23,Male,Facebook,8.2,1.0,5.7,40.0
20,Female,YouTube,5.3,3.4,7.1,66.0
22,Female,LinkedIn,4.9,1.6,7.0,67.0
21,Female,Instagram,5.8,1.9,5.8,51.0
23,Male,LinkedIn,6.4,1.0,5.4,43.0
18,Female,Snapchat,3.8,3.0,6.2,68.0
22,Female,Facebook,3.8,5.3,6.9,65.0
18,Male,Twitter,4.0,4.7,7.4,65.0
21,Male,LinkedIn,8.0,1.0,5.5,56.0
23,Female,Snapchat,8.3,1.0,5.6,58.0
19,Male,LinkedIn,5.8,1.0,5.3,50.0
23,Male,Snapchat,6.2,1.4,5.3,50.0
18,Male,Snapchat,2.3,7.6,7.5,82.0
19,Female,YouTube,6.2,2.1,5.8,43.0
20,Female,Instagram,7.0,1.0,4.5,59.0
24,Male,LinkedIn,3.8,4.6,7.2,89.0
18,Female,TikTok,3.3,3.5,8.6,87.0
19,Female,Instagram,1.5,6.3,8.2,82.0
18,Male,YouTube,6.7,1.4,5.8,45.0
23,Male,YouTube,2.9,5.0,7.7,76.0
24,Female,YouTube,3.2,5.4,7.7,79.0
21,Female,Twitter,6.0,2.3,5.9,41.0
21,Female,YouTube,3.2,5.3,7.6,76.0
22,Male,Snapchat,2.3,5.1,8.1,73.0
22,Male,YouTube,8.1,1.0,5.6,54.0
21,Male,Twitter,3.5,5.8,7.5,89.0
21,Male,TikTok,5.8,1.4,5.5,54.0
24,Female,Twitter,2.9,4.4,8.0,70.0
22,Male,YouTube,6.0,3.1,6.7,64.0
19,Male,YouTube,5.8,2.0,5.3,58.0
19,Male,Facebook,4.9,4.2,6.0,63.0
20,Male,TikTok,5.6,2.0,6.8,68.0
18,Male,YouTube,5.6,3.6,4.5,57.0
19,Male,TikTok,7.5,1.0,4.7,41.0
20,Female,Instagram,8.2,1.0,5.8,49.0
18,Female,YouTube,7.4,1.9,5.8,47.0
18,Female,LinkedIn,6.3,1.4,5.9,54.0
23,Female,LinkedIn,2.1,5.1,8.1,88.0
19,Male,YouTube,5.7,1.9,6.0,58.0
21,Male,TikTok,7.1,1.3,4.5,45.0
23,Male,Snapchat,5.6,1.1,5.8,40.0
23,Female,Instagram,7.5,1.0,5.9,52.0
24,Female,Snapchat,3.0,4.6,7.1,72.0
21,Female,YouTube,3.7,5.2,8.7,86.0
21,Male,TikTok,3.6,2.5,8.5,71.0
19,Female,YouTube,5.4,2.0,6.4,66.0
23,Male,Facebook,2.0,4.7,7.7,79.0
22,Female,TikTok,5.8,1.5,5.7,41.0
21,Female,Instagram,4.5,3.7,6.4,67.0
24,Male,Snapchat,6.3,1.6,5.3,43.0
23,Female,Instagram,7.9,1.0,5.6,51.0
24,Female,TikTok,6.0,1.9,4.9,54.0
19,Male,YouTube,5.0,3.2,6.2,64.0
18,Female,Facebook,6.7,1.0,5.8,46.0
23,Male,Twitter,7.2,1.4,5.3,60.0
21,Female,LinkedIn,3.8,4.7,7.2,75.0
22,Female,YouTube,4.6,3.7,6.4,60.0
22,Male,Snapchat,5.7,2.7,6.6,64.0
22,Female,YouTube,6.3,1.9,5.6,50.0
19,Male,LinkedIn,7.9,1.7,5.8,41.0
23,Female,Snapchat,5.0,2.9,6.1,66.0
21,Female,TikTok,3.5,4.3,7.5,90.0
22,Female,LinkedIn,5.2,2.2,7.2,63.0
19,Female,YouTube,2.7,4.5,8.6,75.0
23,Female,Twitter,6.5,1.0,5.6,46.0
23,Male,TikTok,4.1,3.2,7.4,69.0
23,Male,LinkedIn,2.4,5.5,7.1,71.0
22,Male,Twitter,5.1,3.2,6.3,69.0
18,Male,Twitter,5.9,2.1,6.0,65.0
19,Female,TikTok,5.7,1.7,5.2,41.0
24,Female,Twitter,8.2,1.0,5.0,47.0
19,Male,TikTok,6.9,1.7,5.0,56.0
21,Male,Twitter,7.6,1.0,5.0,41.0
19,Male,Snapchat,2.0,5.5,7.5,78.0
18,Male,Facebook,3.9,4.5,7.3,85.0
19,Female,LinkedIn,4.5,3.7,6.1,63.0
20,Male,TikTok,3.5,3.3,7.1,81.0
18,Male,Twitter,7.3,1.0,5.3,50.0
21,Female,Facebook,3.7,4.5,7.5,83.0
23,Male,YouTube,4.7,2.6,6.9,62.0
18,Male,YouTube,5.3,2.9,6.9,64.0
20,Male,Twitter,7.3,1.0,5.3,60.0
19,Female,LinkedIn,3.8,5.3,7.4,69.0
22,Female,Instagram,8.4,1.0,6.0,55.0
19,Female,Twitter,8.3,1.0,4.7,46.0
21,Male,Snapchat,4.0,4.3,6.6,69.0
23,Female,YouTube,7.6,1.0,4.7,48.0
23,Female,Facebook,5.3,1.8,7.3,62.0
18,Male,Snapchat,5.9,1.9,6.2,61.0
22,Female,TikTok,4.1,3.0,6.4,69.0
22,Male,TikTok,5.6,3.0,6.1,63.0
21,Female,Facebook,8.4,1.2,5.2,51.0
20,Male,Snapchat,5.8,1.3,5.8,49.0
24,Female,YouTube,8.2,1.0,4.5,56.0
21,Male,Twitter,4.8,3.4,6.6,70.0
